network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Lateral Root Density,E0031,CLV1,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0032,NPF5.12,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0033,SCDREB5,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0034,RADICICOL,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0035,DFPM,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0036,DROUGHT,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0037,epibrassinolide,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0038,IAA3,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0039,LBD18,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0040,excess Fe,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0041,CLE1P,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0042,IAA27,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0043,Pi-starvation treatm,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0044,STM196,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0045,tzf1 tzf4 double mut,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0046,Fe conditions,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0047,Ulva extract,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0048,T. atroviride,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0049,Sucrose supplementat,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0050,MYCOSUBTILIN,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0051,SIPHR1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0052,FA,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0053,AXR2,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0054,URM12,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0055,Overexpressing HvPT6,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0056,PROTODIOSCIN,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0057,FZB42,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0058,ALF4,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0059,BBO,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0060,less LCBs,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0061,Heterodera schachtii,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0062,ABA,HORMONE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0063,symplastic Fe,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0064,GH3,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0065,NARINGENIN,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0066,SMXL678,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0067,GBETA,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0068,Chronic salinity,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0069,BRZ,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0070,LATB,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0071,Ethylene,HORMONE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0072,JZ,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0073,HERBOXIDIENE,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0074,ATIDD8,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0075,S deficiency,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0076,founder cells,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0077,CLE,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0078,low nitrate,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0079,BIN2,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0080,AMMONIUM,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0081,A plant(s) lipocalin,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0082,NITRATE,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0083,IAA15,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0084,rhizobacteria Y,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0085,KD,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0086,N-isobutyl decanamid,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
