iteration,max_abs_delta_t,Decapitation,Low_R_FR,Nitrogen,Photoperiod,Sucrose,miR156,MAX2,ABA2,D27,MAX1,LBO,Auxin,CCD7,CCD8,Strigolactone,D14,SMXL678,BES1,GA,GA2OX,DELLA,SPL9,BRC1,IPT,CKX9,Cytokinin,PIN1,PIN3,FHY3,T6P,FT,HB21,NCED3,ABA,TIE1,ARR1,CAMEL,Shoot_Branching
47,6.20E-25,1,1,1,1,1,1,2.66E-25,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
48,1.86E-25,1,1,1,1,1,1,7.98E-26,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
49,5.58E-26,1,1,1,1,1,1,2.39E-26,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
50,1.68E-26,1,1,1,1,1,1,7.18E-27,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
51,5.03E-27,1,1,1,1,1,1,2.15E-27,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
52,1.51E-27,1,1,1,1,1,1,6.46E-28,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
53,4.52E-28,1,1,1,1,1,1,1.94E-28,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
54,1.36E-28,1,1,1,1,1,1,5.81E-29,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
55,4.07E-29,1,1,1,1,1,1,1.74E-29,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
56,1.22E-29,1,1,1,1,1,1,5.23E-30,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
57,3.66E-30,1,1,1,1,1,1,1.57E-30,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
58,1.10E-30,1,1,1,1,1,1,4.71E-31,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
59,3.30E-31,1,1,1,1,1,1,1.41E-31,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
60,9.89E-32,1,1,1,1,1,1,4.24E-32,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
61,2.97E-32,1,1,1,1,1,1,1.27E-32,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
62,8.90E-33,1,1,1,1,1,1,3.82E-33,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
63,2.67E-33,1,1,1,1,1,1,1.14E-33,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
64,8.01E-34,1,1,1,1,1,1,3.43E-34,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
65,2.40E-34,1,1,1,1,1,1,1.03E-34,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
66,7.21E-35,1,1,1,1,1,1,3.09E-35,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
67,2.16E-35,1,1,1,1,1,1,9.27E-36,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
68,6.49E-36,1,1,1,1,1,1,2.78E-36,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
