network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Plant Height,E0171,differential accumul,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0172,nerd1-1 sec8-6 doubl,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0173,EBS1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0174,CBFS,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0175,C4H,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0176,JA,HORMONE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0177,ATMYB24,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0178,ATGA2OX3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0179,mutant TkBAHD allele,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0180,CENH3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0181,BTL1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0182,AtPHT4;1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0183,BRI1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0184,CTP,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0185,TENGU,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0186,AT2353,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0187,ATCBF3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0188,ATKH27,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0189,puf2 rha1 double mut,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0190,ATDOF5.4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0191,PHT4;6,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0192,knockout of four of ,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0193,RIN13,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0194,Turnip Mosaic Virus,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0195,SCYL2B,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0196,ATXR3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0197,ARAKIN,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0198,NHP,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0199,2F-Fuc,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0200,EXO84B,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0201,ATMYB58,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0202,snc1/eds1-2 double m,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0203,TSBAHD,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0204,MKS1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0205,ATWRKY52,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
